iter	Logloss
0	0.01944251439
1	0.004702844751
2	0.00314665384
3	0.00269720389
4	0.002564473728
5	0.002383621841
6	0.002317006665
7	0.002224053078
8	0.00218393494
9	0.002130478525
10	0.00207524125
11	0.002032985476
12	0.002000052615
13	0.001948759628
14	0.00188959801
15	0.001867409692
16	0.001821631447
17	0.001784775239
18	0.00176581679
19	0.001696917823
20	0.001658448563
21	0.001639763787
22	0.001597216311
23	0.001540871124
24	0.001520172401
25	0.00145943938
26	0.001429123651
27	0.00142177418
28	0.001407690471
29	0.001378504156
30	0.001355458322
31	0.001311700207
32	0.00127006762
33	0.001197944561
34	0.00118737345
35	0.001174551473
36	0.001164007151
37	0.001158104102
38	0.001149133451
39	0.001137379703
40	0.001125708093
41	0.001112318762
42	0.001103231704
43	0.001089075977
44	0.001082625965
45	0.001067633384
46	0.001024224535
47	0.001007832342
48	0.001000291216
49	0.0009702479303
50	0.0009553597989
51	0.0009523062347
52	0.0009425747676
53	0.0009167065026
54	0.0008956552038
55	0.0008897899743
56	0.0008867137917
57	0.0008699572396
58	0.0008611415723
59	0.0008447894272
