iter	Logloss
0	0.5120883989
1	0.3729284162
2	0.2727108718
3	0.2013606769
4	0.1485826268
5	0.1095533439
6	0.08266926769
7	0.06288002552
8	0.04868266821
9	0.03804485111
10	0.02975037683
11	0.02365807039
12	0.01939895363
13	0.01598080165
14	0.01329295208
15	0.01120264886
16	0.009727125263
17	0.008500107666
18	0.007439244886
19	0.006527598858
20	0.005919956099
21	0.005392210743
22	0.004948404566
23	0.00456262016
24	0.004280761472
25	0.004030161989
26	0.00381261356
27	0.003643142656
28	0.003508710477
29	0.003375431791
30	0.003270060592
31	0.003180446372
32	0.003079363935
33	0.002989861957
34	0.002910138677
35	0.002862634416
36	0.0028011594
37	0.002750101709
38	0.002699684519
39	0.002662741165
40	0.002622614324
41	0.00259197419
42	0.002571987383
43	0.002549989868
44	0.002529879032
45	0.0025022413
46	0.002475457837
47	0.002455886244
48	0.002429991073
49	0.002416644747
50	0.002396835812
51	0.002379712644
52	0.002361765209
53	0.002342455603
54	0.002323704527
55	0.002311912978
56	0.002292456306
57	0.002267915536
58	0.002250541632
59	0.002224900946
60	0.002213011085
61	0.002203731716
62	0.002182816035
63	0.002170409433
64	0.002143332776
65	0.002135817665
66	0.002103493236
67	0.002095510139
68	0.002084033215
69	0.002072244746
70	0.00205908741
71	0.002048758621
72	0.00203687184
73	0.002028357403
74	0.002016632288
75	0.002010111148
76	0.001999034169
77	0.001991049197
78	0.001984229905
79	0.001978914627
80	0.001972883707
81	0.001967456053
82	0.001948554161
83	0.001935151178
84	0.001919267894
85	0.001909722922
86	0.001905493228
87	0.001892178244
88	0.001888689507
89	0.001879105826
90	0.001870848822
91	0.001860548294
92	0.001857223901
93	0.001847238534
94	0.001837964522
95	0.001831844934
96	0.001822586192
97	0.0018140155
98	0.001804899672
99	0.001798808345
100	0.001785887949
101	0.00177243715
102	0.001769125347
103	0.001764458473
104	0.001757136103
105	0.001752312786
106	0.001745171101
107	0.00173387205
108	0.001727926717
109	0.001711766311
110	0.001706344818
111	0.001701722947
112	0.001697166038
113	0.001692679313
114	0.001686097765
115	0.00167673013
116	0.00167186047
117	0.001668764981
118	0.001663409119
119	0.001659430161
120	0.001652921476
121	0.001643581031
122	0.001640072738
123	0.0016347075
124	0.001629675639
125	0.001624050022
126	0.001615957362
127	0.001610840047
128	0.001604368063
129	0.001597862057
130	0.001589664254
131	0.001585260572
132	0.001580171787
133	0.001573740787
134	0.00156616661
135	0.001549325653
136	0.001543919564
137	0.001535997008
138	0.001531120384
139	0.001523800156
140	0.001509818687
141	0.001506871067
142	0.001500847916
143	0.001496925079
144	0.001492803073
145	0.001489581144
146	0.001483573797
147	0.001481329229
148	0.001473236837
149	0.001471680855
150	0.001464407775
151	0.001458519099
152	0.001448927918
153	0.001446272288
154	0.001440945625
155	0.00143370469
156	0.001431334084
157	0.001428106664
158	0.001424867859
159	0.001418744386
